date,from,value_m3
2021-03-07,Algeria,85781470.46806999
2021-03-07,Azerbaijan,13545062.971844746
2021-03-07,Libya,10272297.450928146
2021-03-07,LNG,233706989.11981526
2021-03-07,Morocco,20010193.44524381
2021-03-07,Norway,123802855.57243094
2021-03-07,Russia,423742325.83089083
2021-03-07,United Kingdom,7433696.420641266
2021-03-08,Algeria,85795680.8775202
2021-03-08,Azerbaijan,15924574.029665155
2021-03-08,Libya,10753070.965449862
2021-03-08,LNG,271317094.60875744
2021-03-08,Morocco,24910902.122746248
2021-03-08,Norway,187307544.42472687
2021-03-08,Russia,426617211.02229327
2021-03-08,United Kingdom,5962725.908162359
2021-03-09,Algeria,85756590.19451106
2021-03-09,Azerbaijan,15973671.196376232
2021-03-09,Libya,12681564.348521182
2021-03-09,LNG,278434201.68753886
2021-03-09,Morocco,24919173.37241318
2021-03-09,Norway,201527034.39026555
2021-03-09,Russia,426604050.1877609
2021-03-09,United Kingdom,5487630.340172308
2021-03-10,Algeria,85659974.15401012
2021-03-10,Azerbaijan,15041211.83053557
2021-03-10,Libya,11723633.981703524
2021-03-10,LNG,282442831.0684785
2021-03-10,Morocco,23361078.87023714
2021-03-10,Norway,215291646.78923523
2021-03-10,Russia,401400200.4298783
2021-03-10,United Kingdom,4651028.954614088
2021-03-11,Algeria,86005215.11679545
2021-03-11,Azerbaijan,14458688.693489652
2021-03-11,Libya,10774621.103117503
2021-03-11,LNG,268573594.68869346
2021-03-11,Morocco,22215512.301270097
2021-03-11,Norway,214870465.28110844
2021-03-11,Russia,396286327.5512923
2021-03-11,United Kingdom,4109661.071143085
2021-03-12,Algeria,86142062.0836664
2021-03-12,Azerbaijan,14310873.079314323
2021-03-12,Libya,9271626.076916244
2021-03-12,LNG,257755651.8163247
2021-03-12,Morocco,22239292.121858068
2021-03-12,Norway,217535567.26174614
2021-03-12,Russia,413768299.18465227
2021-03-12,United Kingdom,6297163.2471800335
2021-03-13,Algeria,86526795.36370903
2021-03-13,Azerbaijan,14027805.31130651
2021-03-13,Libya,7815349.054090061
2021-03-13,LNG,193966199.6802558
2021-03-13,Morocco,21625152.677857712
2021-03-13,Norway,223229176.96287414
2021-03-13,Russia,419484772.22133404
2021-03-13,United Kingdom,3315535.038635757
2021-03-14,Algeria,86250146.10533795
2021-03-14,Azerbaijan,12762542.676969536
2021-03-14,Libya,9743835.154098945
2021-03-14,LNG,197109398.99635845
2021-03-14,Morocco,21630322.231104005
2021-03-14,Norway,225850192.80575538
2021-03-14,Russia,417105754.01723063
2021-03-14,United Kingdom,2315855.759836575
2021-03-15,Algeria,85537311.48414601
2021-03-15,Azerbaijan,12313573.763211653
2021-03-15,Libya,9733299.316102672
2021-03-15,LNG,241548803.59712228
2021-03-15,Morocco,22133833.821831424
2021-03-15,Norway,227112056.96775913
2021-03-15,Russia,421858180.1927347
2021-03-15,United Kingdom,9126134.736655122
2021-03-16,Algeria,86235603.07309708
2021-03-16,Azerbaijan,11906529.53193001
2021-03-16,Libya,8762338.928856915
2021-03-16,LNG,234894646.91358024
2021-03-16,Morocco,22109020.16164846
2021-03-16,Norway,226030384.56346035
2021-03-16,Russia,423608427.29105604
2021-03-16,United Kingdom,16378534.772182252
2021-03-17,Algeria,86268280.6643574
2021-03-17,Azerbaijan,13352362.021493915
2021-03-17,Libya,9272899.191757703
2021-03-17,LNG,239324840.5453415
2021-03-17,Morocco,22510175.237587705
2021-03-17,Norway,219239662.04813927
2021-03-17,Russia,427353013.4910738
2021-03-17,United Kingdom,16151826.094679814
2021-03-18,Algeria,86465506.79456434
2021-03-18,Azerbaijan,13370980.548894215
2021-03-18,Libya,9734905.764277468
2021-03-18,LNG,256880435.07416287
2021-03-18,Morocco,22562904.34319211
2021-03-18,Norway,220767099.21840304
2021-03-18,Russia,429047913.73034906
2021-03-18,United Kingdom,14147740.385469403
2021-03-19,Algeria,86325120.3481659
2021-03-19,Azerbaijan,13367355.448974151
2021-03-19,Libya,10714118.39417355
2021-03-19,LNG,258239949.63140598
2021-03-19,Morocco,22612531.752375875
2021-03-19,Norway,220912998.809841
2021-03-19,Russia,428894498.8293809
2021-03-19,United Kingdom,13088539.14201972
2021-03-20,Algeria,85960415.66746601
2021-03-20,Azerbaijan,13367717.559285903
2021-03-20,Libya,8778106.314948041
2021-03-20,LNG,248485439.17754686
2021-03-20,Morocco,22467785.14965805
2021-03-20,Norway,217309235.72253308
2021-03-20,Russia,426800918.351541
2021-03-20,United Kingdom,15173285.904609645
2021-03-21,Algeria,85970293.54294342
2021-03-21,Azerbaijan,13310680.877520204
2021-03-21,Libya,9259130.11812772
2021-03-21,LNG,259632562.42117417
2021-03-21,Morocco,22041816.324718
2021-03-21,Norway,206473704.7339906
2021-03-21,Russia,426704951.1848299
2021-03-21,United Kingdom,14886845.101696419
2021-03-22,Algeria,86399831.15729639
2021-03-22,Azerbaijan,14063678.65707434
2021-03-22,Libya,11691607.602806645
2021-03-22,LNG,278867189.6704858
2021-03-22,Morocco,24278152.41140421
2021-03-22,Norway,221434222.13971046
2021-03-22,Russia,433913896.7101874
2021-03-22,United Kingdom,16972246.114219736
2021-03-23,Algeria,86288145.03952393
2021-03-23,Azerbaijan,14877330.135891289
2021-03-23,Libya,11207607.513988808
2021-03-23,LNG,284699635.88240516
2021-03-23,Morocco,22155545.874411583
2021-03-23,Norway,231892819.13136157
2021-03-23,Russia,434799300.4147793
2021-03-23,United Kingdom,14679717.559285905
2021-03-24,Algeria,85581772.7151612
2021-03-24,Azerbaijan,15462406.51922906
2021-03-24,Libya,8765688.604671817
2021-03-24,LNG,275156666.2581046
