Date,Price,Open,High,Low,Vol.,Change %
"Jan 20, 2021",67.5,67.6,67.6,67.4,0.09K,0.00%
"Jan 19, 2021",67.5,67.5,67.5,67.3,0.09K,0.37%
"Jan 18, 2021",67.25,68,68.1,67.9,0.11K,-1.97%
"Jan 15, 2021",68.6,68.9,68.9,68.6,0.06K,-1.86%
"Jan 14, 2021",69.9,69.5,69.95,69.4,0.06K,-0.36%
"Jan 13, 2021",70.15,69.5,70.1,69.5,0.12K,-0.50%
"Jan 12, 2021",70.5,69.1,70.5,68.95,0.29K,2.92%
"Jan 11, 2021",68.5,68.55,68.55,68.4,0.14K,0.00%
"Jan 08, 2021",68.5,67.75,68.5,67.35,0.37K,2.85%
"Jan 07, 2021",66.6,66.5,66.6,65.75,0.17K,3.66%
"Jan 06, 2021",64.25,65.75,65.75,64.2,0.15K,-1.00%
"Jan 05, 2021",64.9,68.5,68.75,65.9,0.23K,-6.35%
"Jan 04, 2021",69.3,69.75,70.25,69.75,0.13K,0.43%
"Dec 31, 2020",69,69,69,69,0.04K,-0.58%
"Dec 30, 2020",69.4,70.6,70.6,69.15,0.28K,-0.86%
"Dec 29, 2020",70,71,71,70.25,0.37K,-2.30%
"Dec 28, 2020",71.65,71.75,72,71.5,0.18K,8.40%
"Dec 24, 2020",66.1,66.1,66.1,66.1,-,0.08%
"Dec 23, 2020",66.05,66.05,66.05,66.05,-,-0.08%
"Dec 22, 2020",66.1,66.1,66.1,66.1,-,0.00%
"Dec 21, 2020",66.1,66.1,66.1,66.1,-,0.15%
"Dec 18, 2020",66,65.65,66,65.65,0.05K,0.53%
"Dec 17, 2020",65.65,65.65,65.65,65.65,-,0.08%
"Dec 16, 2020",65.6,65.6,65.6,65.6,-,-0.30%
"Dec 15, 2020",65.8,65.8,65.8,65.8,0.01K,0.61%
"Dec 14, 2020",65.4,65.45,65.45,65.4,0.03K,0.46%
"Dec 11, 2020",65.1,65,65,65,0.01K,1.72%
"Dec 10, 2020",64,63.6,64,63.5,0.14K,1.11%
"Dec 09, 2020",63.3,63.3,63.3,63.3,-,0.40%
"Dec 08, 2020",63.05,63,63,62.8,0.03K,0.16%
"Dec 07, 2020",62.95,63.5,63.5,63.5,0.01K,-0.40%
"Dec 04, 2020",63.2,62.15,63.4,62.15,0.18K,2.18%
"Dec 03, 2020",61.85,62.4,62.6,62.25,0.10K,-0.24%
"Dec 02, 2020",62,61.45,62.05,61.45,0.03K,1.22%
