date,commodity_origin_country,Crude oil,Oil products and chemicals,unit
2022-09-17,Turkey,0,0,tonne
2022-09-18,Russia,0,50057,tonne
2022-09-18,Turkey,0,0,tonne
2022-09-19,Russia,0,0,tonne
2022-09-19,Turkey,0,0,tonne
2022-09-20,Russia,0,0,tonne
2022-09-20,Turkey,0,0,tonne
2022-09-21,Russia,0,100470,tonne
2022-09-21,Turkey,0,0,tonne
2022-09-22,Russia,0,0,tonne
2022-09-22,Turkey,0,0,tonne
2022-09-23,Russia,113969,0,tonne
2022-09-23,Turkey,0,0,tonne
2022-09-24,Russia,0,43550,tonne
2022-09-24,Turkey,0,37887,tonne
2022-09-25,Russia,0,0,tonne
2022-09-25,Turkey,0,0,tonne
2022-09-26,Russia,0,0,tonne
2022-09-26,Turkey,0,0,tonne
2022-09-27,Russia,52292,0,tonne
2022-09-27,Turkey,0,0,tonne
2022-09-28,Russia,0,0,tonne
2022-09-28,Turkey,0,0,tonne
2022-09-29,Russia,0,0,tonne
2022-09-29,Turkey,0,0,tonne
2022-09-30,Russia,0,0,tonne
2022-09-30,Turkey,0,0,tonne
2022-10-01,Russia,0,0,tonne
2022-10-01,Turkey,0,0,tonne
2022-10-02,Russia,0,0,tonne
2022-10-02,Turkey,0,0,tonne
2022-10-03,Russia,0,0,tonne
2022-10-03,Turkey,0,0,tonne
2022-10-04,Russia,0,0,tonne
2022-10-04,Turkey,0,0,tonne
2022-10-05,Russia,0,40597,tonne
2022-10-05,Turkey,0,0,tonne
2022-10-06,Russia,109985,0,tonne
2022-10-06,Turkey,0,0,tonne
2022-10-07,Russia,0,0,tonne
2022-10-07,Turkey,0,0,tonne
2022-10-08,Russia,0,0,tonne
2022-10-08,Turkey,0,0,tonne
2022-10-09,Russia,0,0,tonne
2022-10-09,Turkey,0,0,tonne
2022-10-10,Russia,0,0,tonne
2022-10-10,Turkey,0,0,tonne
2022-10-11,Russia,0,43550,tonne
2022-10-11,Turkey,0,0,tonne
2022-10-12,Russia,0,0,tonne
2022-10-12,Turkey,0,0,tonne
2022-10-13,Russia,51416,0,tonne
2022-10-13,Turkey,0,0,tonne
2022-10-14,Russia,111932,0,tonne
2022-10-14,Turkey,0,0,tonne
2022-10-15,Russia,0,0,tonne
2022-10-15,Turkey,0,0,tonne
2022-10-16,Russia,0,0,tonne
2022-10-16,Turkey,0,0,tonne
2022-10-17,Russia,0,51371,tonne
2022-10-17,Turkey,0,0,tonne
2022-10-18,Russia,0,0,tonne
2022-10-18,Turkey,0,0,tonne
2022-10-19,Russia,114671,0,tonne
2022-10-19,Turkey,0,0,tonne
2022-10-20,Russia,0,0,tonne
2022-10-20,Turkey,0,0,tonne
2022-10-21,Russia,109266,0,tonne
2022-10-21,Turkey,0,0,tonne
2022-10-22,Russia,0,0,tonne
2022-10-22,Turkey,0,0,tonne
2022-10-23,Russia,0,0,tonne
2022-10-23,Turkey,0,0,tonne
2022-10-24,Russia,0,0,tonne
2022-10-24,Turkey,0,0,tonne
2022-10-25,Russia,113969,47786,tonne
2022-10-25,Turkey,0,0,tonne
2022-10-26,Russia,109985,0,tonne
2022-10-26,Turkey,0,51271,tonne
2022-10-27,Russia,0,0,tonne
2022-10-27,Turkey,0,0,tonne
2022-10-28,Russia,0,0,tonne
2022-10-28,Turkey,0,0,tonne
2022-10-29,Russia,108929,0,tonne
2022-10-29,Turkey,0,0,tonne
2022-10-30,Russia,0,50922,tonne
2022-10-30,Turkey,0,0,tonne
2022-10-31,Russia,0,0,tonne
2022-10-31,Turkey,0,0,tonne
2022-11-01,Russia,109980,0,tonne
2022-11-01,Turkey,0,0,tonne
2022-11-02,Russia,0,0,tonne
2022-11-02,Turkey,0,0,tonne
2022-11-03,Russia,0,51371,tonne
2022-11-03,Turkey,0,0,tonne
2022-11-04,Russia,0,38734,tonne
2022-11-04,Turkey,0,0,tonne
2022-11-05,Russia,106898,40597,tonne
2022-11-05,Turkey,0,0,tonne
2022-11-06,Russia,0,0,tonne
2022-11-06,Turkey,0,0,tonne
2022-11-07,Russia,0,0,tonne
2022-11-07,Turkey,0,0,tonne
2022-11-08,Russia,0,79549,tonne
2022-11-08,Turkey,0,0,tonne
2022-11-09,Russia,52292,0,tonne
2022-11-09,Turkey,0,0,tonne
2022-11-10,Russia,0,0,tonne
2022-11-10,Turkey,0,0,tonne
2022-11-11,Russia,224040,38734,tonne
2022-11-11,Turkey,0,0,tonne
