"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2017","78.15","78.15","78.15","78.15","0.01K","-0.76%"
"Jun 13, 2017","78.75","78.75","78.75","78.75","-","0.13%"
"Jun 12, 2017","78.65","78.65","78.65","78.65","-","0.13%"
"Jun 09, 2017","78.55","78.50","78.75","78.50","0.01K","0.06%"
"Jun 08, 2017","78.50","78.25","78.25","78.25","0.08K","0.83%"
"Jun 07, 2017","77.85","78.00","78.25","78.00","0.03K","0.58%"
"Jun 06, 2017","77.40","78.00","78.15","77.45","0.01K","-0.58%"
"Jun 05, 2017","77.85","77.75","77.75","77.75","0.00K","0.45%"
"Jun 02, 2017","77.50","77.50","77.50","77.50","0.04K","0.26%"
"Jun 01, 2017","77.30","76.80","77.10","76.70","0.11K","0.98%"
"May 31, 2017","76.55","77.00","77.00","77.00","0.10K","-1.54%"
"May 30, 2017","77.75","77.75","77.75","77.75","0.17K","2.03%"
"May 29, 2017","76.20","76.20","76.20","76.20","-","2.70%"
"May 26, 2017","74.20","74.20","74.20","74.20","-","0.00%"
"May 25, 2017","74.20","74.20","74.20","74.20","-","-0.07%"
"May 24, 2017","74.25","74.25","74.25","74.25","-","0.00%"
"May 23, 2017","74.25","74.25","74.25","74.25","-","-0.93%"
"May 22, 2017","74.95","74.95","74.95","74.95","-","1.01%"
"May 19, 2017","74.20","74.20","74.20","74.20","-","0.13%"
"May 18, 2017","74.10","74.10","74.10","74.10","-","0.75%"
"May 17, 2017","73.55","73.55","73.55","73.55","-","0.41%"
"May 16, 2017","73.25","73.25","73.25","73.25","0.01K","0.69%"
"May 15, 2017","72.75","72.75","72.75","72.75","0.01K","0.07%"
"May 12, 2017","72.70","72.70","72.70","72.70","0.01K","0.07%"
"May 11, 2017","72.65","72.65","72.65","72.65","-","-0.62%"
"May 10, 2017","73.10","73.10","73.10","73.10","0.01K","0.41%"
"May 09, 2017","72.80","72.80","72.80","72.80","0.07K","0.14%"
"May 08, 2017","72.70","72.70","72.70","72.70","0.01K","-1.09%"
"May 05, 2017","73.50","73.25","73.25","73.25","0.01K","-0.07%"
"May 04, 2017","73.55","73.55","73.55","73.55","0.04K","-0.81%"
"May 03, 2017","74.15","74.00","74.00","74.00","0.08K","-0.20%"
"May 02, 2017","74.30","74.10","74.20","74.10","0.01K","0.00%"
"May 01, 2017","74.30","74.30","74.30","74.30","-","-1.59%"
"Apr 28, 2017","75.50","75.50","75.50","75.50","-","-0.53%"
"Apr 27, 2017","75.90","75.90","75.90","75.90","0.01K","0.73%"
"Apr 26, 2017","75.35","75.35","75.35","75.35","-","0.13%"
"Apr 25, 2017","75.25","75.40","75.40","75.35","0.02K","0.00%"
"Apr 24, 2017","75.25","75.45","75.45","75.45","0.03K","-0.27%"
"Apr 21, 2017","75.45","75.45","75.45","75.45","-","-0.13%"
"Apr 20, 2017","75.55","75.55","75.55","75.55","0.02K","0.33%"
"Apr 19, 2017","75.30","75.30","75.30","75.30","0.03K","-0.46%"
"Apr 18, 2017","75.65","75.65","75.65","75.65","-","0.27%"
"Apr 17, 2017","75.45","75.45","75.45","75.45","-","0.00%"
"Apr 13, 2017","75.45","75.45","75.45","75.45","0.02K","0.73%"
