date,destination_region,commodity_group,Pricecap: 2021H1 - EU imports + EU/GB/NO ships,Pricecap: 2021H1 - EU imports only,Pricecap: SRMC - EU imports + EU/GB/NO ships,Pricecap: SRMC - EU imports only,Without price cap,unit
2021-12-05,EU,gas,207497904.63829374,207497904.63829374,207497904.63829374,207497904.63829374,207497904.63829374,EUR
2021-12-05,EU,oil,119435207.50425011,119435207.50425011,119435207.50425011,119435207.50425011,119435207.50425011,EUR
2021-12-05,Others,coal,2120416.7938967063,2120416.7938967063,2120416.7938967063,2120416.7938967063,2120416.7938967063,EUR
2021-12-05,Others,gas,9830739.200999632,9830739.200999632,9830739.200999632,9830739.200999632,9830739.200999632,EUR
2021-12-05,Others,oil,32471955.916600306,32471955.916600306,32471955.916600306,32471955.916600306,32471955.916600306,EUR
2021-12-05,Turkey,coal,1869617.716199165,1869617.716199165,1869617.716199165,1869617.716199165,1869617.716199165,EUR
2021-12-05,Turkey,gas,20802374.0218609,20802374.0218609,20802374.0218609,20802374.0218609,20802374.0218609,EUR
2021-12-06,EU,coal,11749451.96413577,11749451.96413577,11749451.96413577,11749451.96413577,11749451.96413577,EUR
2021-12-06,EU,gas,223720536.54601213,223720536.54601213,223720536.54601213,223720536.54601213,223720536.54601213,EUR
2021-12-06,EU,oil,118758794.08878429,118758794.08878429,118758794.08878429,118758794.08878429,118758794.08878429,EUR
2021-12-06,Others,gas,2356760.179116875,2356760.179116875,2356760.179116875,2356760.179116875,2356760.179116875,EUR
2021-12-06,Turkey,gas,20872754.426896542,20872754.426896542,20872754.426896542,20872754.426896542,20872754.426896542,EUR
2021-12-06,Turkey,oil,4165095.199884837,4165095.199884837,4165095.199884837,4165095.199884837,4165095.199884837,EUR
2021-12-06,United Kingdom,oil,21953817.166308396,21953817.166308396,21953817.166308396,21953817.166308396,21953817.166308396,EUR
2021-12-07,EU,coal,2500937.431065464,2500937.431065464,2500937.431065464,2500937.431065464,2500937.431065464,EUR
2021-12-07,EU,gas,234586421.91577953,234586421.91577953,234586421.91577953,234586421.91577953,234586421.91577953,EUR
2021-12-07,EU,oil,175242739.94755143,175242739.94755143,175242739.94755143,175242739.94755143,175242739.94755143,EUR
2021-12-07,India,oil,58351335.34495181,58351335.34495181,58351335.34495181,58351335.34495181,58351335.34495181,EUR
2021-12-07,Others,coal,698385.5325123649,698385.5325123649,698385.5325123649,698385.5325123649,698385.5325123649,EUR
2021-12-07,Others,gas,2642433.400703363,2642433.400703363,2642433.400703363,2642433.400703363,2642433.400703363,EUR
2021-12-07,Others,oil,55550422.75576453,55550422.75576453,55550422.75576453,55550422.75576453,55550422.75576453,EUR
2021-12-07,South Korea,coal,10233354.65059647,10233354.65059647,10233354.65059647,10233354.65059647,10233354.65059647,EUR
2021-12-07,Turkey,gas,20968737.284899384,20968737.284899384,20968737.284899384,20968737.284899384,20968737.284899384,EUR
2021-12-07,United States,oil,68465711.98856619,68465711.98856619,68465711.98856619,68465711.98856619,68465711.98856619,EUR
2021-12-08,EU,coal,11492928.014025686,11492928.014025686,11492928.014025686,11492928.014025686,11492928.014025686,EUR
2021-12-08,EU,gas,224345753.90590087,224345753.90590087,224345753.90590087,224345753.90590087,224345753.90590087,EUR
